name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
KS_46,0.217193,1.92474,-3.63229,4.06668,0.207585,0.435987,-0.66439,1.07956
KS_47,0.730532,1.92474,-3.11895,4.58002,0.728436,1.88251,-3.03658,4.49345
KS_48,0.926344,1.92474,-2.92314,4.77583,0.924299,1.59627,-2.26824,4.11684
KS_49,-3.68248,1.92474,-7.53196,0.167007,-3.68451,1.92001,-7.52453,0.155511
KS_50,0.47218,1.92474,-3.37731,4.32166,0.468745,1.8956,-3.32244,4.25994
KS_51,-4.33819,1.92474,-8.18767,-0.488702,-4.33782,1.90357,-8.14497,-0.530677
KS_52,-1.46334,1.92474,-5.31282,2.38615,-1.46322,0.186984,-1.83719,-1.08925
KS_53,0.694221,1.92474,-3.15526,4.54371,0.694239,1.92376,-3.15329,4.54176
KS_55,1.3202,1.92474,-2.52929,5.16968,1.31234,0.519519,0.273297,2.35137
KS_56,1.86236,1.92474,-1.98713,5.71184,1.86263,1.91958,-1.97653,5.70178
KS_57,0.77359,1.92474,-3.07589,4.62308,0.773792,1.82441,-2.87503,4.42262
KS_59,-2.20439,1.92474,-6.05388,1.64509,-2.19413,0.574038,-3.34221,-1.04605
KS_6,2.35958,1.92474,-1.4899,6.20907,2.35494,1.30667,-0.258407,4.96829
KS_60,0.70288,1.92474,-3.1466,4.55237,0.700708,1.78034,-2.85998,4.2614
KS_61,-1.54611,1.92474,-5.3956,2.30337,-1.54599,1.92123,-5.38846,2.29647
KS_62,-0.556534,1.92474,-4.40602,3.29295,-0.556417,0.147858,-0.852133,-0.260701
KS_63,1.0242,1.92474,-2.82529,4.87368,1.02423,1.92388,-2.82352,4.87199
KS_64,-3.20914,1.92474,-7.05862,0.640346,-3.20913,1.92387,-7.05688,0.638622
KS_65,-2.72277,1.92474,-6.57225,1.12672,-2.72297,1.9233,-6.56957,1.12363
KS_66,0.742464,1.92474,-3.10702,4.59195,0.742501,1.92388,-3.10526,4.59026
KS_67,0.944548,1.92474,-2.90494,4.79403,0.945205,1.75504,-2.56487,4.45528
KS_68,-2.03455,1.92474,-5.88403,1.81494,-2.03285,1.90701,-5.84687,1.78118
KS_69,-0.131845,1.92474,-3.98133,3.71764,-0.131935,1.88653,-3.905,3.64113
KS_7,-4.9914,1.92474,-8.84088,-1.14191,-4.99137,1.92385,-8.83907,-1.14368
KS_70,0.576382,1.92474,-3.2731,4.42587,0.57658,1.91809,-3.2596,4.41276
KS_71,-4.99568,1.92474,-8.84516,-1.14619,-5,1.40626,-7.81252,-2.18748
KS_72,-4.057,1.92474,-7.90649,-0.207515,-4.05596,1.91793,-7.89183,-0.220101
KS_73,-3.94779,1.92474,-7.79727,-0.0983022,-3.94771,1.92388,-7.79548,-0.0999511
KS_74,-4.03012,1.92474,-7.8796,-0.180633,-4.03008,1.92354,-7.87717,-0.182995
KS_75,-4.84771,1.92474,-8.6972,-0.998227,-4.84834,1.31688,-7.4821,-2.21457
KS_77,-3.99022,1.92474,-7.83971,-0.140737,-3.99019,1.92389,-7.83796,-0.142413
