name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ks_1,0.377412,1.92474,-3.47207,4.2269,1.25988,0.685354,-0.110828,2.63059
ks_10,0.263498,1.92474,-3.58599,4.11298,0.264093,1.91295,-3.5618,4.08998
ks_100,-4.1891,2.17474,-8.53858,0.160389,-3.34299,0.973824,-5.29064,-1.39535
ks_101,-3.15962,1.92474,-7.00911,0.689863,-3.15962,1.91487,-6.98935,0.67011
ks_102,-4.13077,2.17474,-8.48025,0.218717,-4.11997,2.16907,-8.4581,0.218163
ks_104,-5.01412,2.17474,-9.36361,-0.66464,-5.01412,2.17066,-9.35545,-0.672801
ks_105,-5.00966,2.17474,-9.35915,-0.660176,-5.00966,2.17066,-9.35098,-0.668341
ks_106,-3.83863,1.92474,-7.68811,0.010856,-3.83863,1.9202,-7.67903,0.00177496
ks_107,-3.60104,1.92474,-7.45052,0.248447,-3.59767,1.90267,-7.40302,0.207675
ks_108,0.652651,1.92474,-3.19683,4.50214,0.64637,1.92051,-3.19465,4.48739
ks_11,-0.458685,1.92474,-4.30817,3.3908,-0.140063,1.62089,-3.38183,3.10171
ks_110,0.581321,1.92474,-3.26816,4.43081,0.553393,1.92281,-3.29222,4.399
ks_111,0.949968,1.92474,-2.89952,4.79945,0.922503,1.70289,-2.48328,4.32829
ks_112,0.664827,1.92474,-3.18466,4.51431,0.306296,1.90624,-3.50617,4.11877
ks_113,-1.1522,1.92474,-5.00169,2.69728,-1.19778,0.689765,-2.57731,0.181755
ks_114,0.989559,1.92474,-2.85993,4.83904,0.999826,0.433968,0.13189,1.86776
ks_115,0.830076,1.92474,-3.01941,4.67956,0.835859,1.91094,-2.98602,4.65774
ks_116,-0.408683,1.92474,-4.25817,3.4408,-0.41133,1.82627,-4.06387,3.24121
ks_117,1.1429,1.92474,-2.70658,4.99239,1.14261,1.88157,-2.62053,4.90575
ks_118,0.297972,1.92474,-3.55151,4.14746,0.298934,1.91373,-3.52853,4.1264
ks_12,0.967035,1.92474,-2.88245,4.81652,0.967035,1.921,-2.87495,4.80903
ks_120,-0.913607,1.92474,-4.76309,2.93588,-0.958706,1.6584,-4.2755,2.35809
ks_121,0.362177,1.92474,-3.48731,4.21166,0.37173,1.79022,-3.2087,3.95216
